plan

{
target rectangle x 0 z 0 rot 0 width 32 height 32
floor		egyptian_camp_underlay.CAS roman_camp_overlay.CAS
ground_types	roman_camp_ground.tga -160 -160 160 160
street_plan	roman_camp_pathfinding.CAS
borders		

	{

	;WALLS

gateway,	-0.00,	96.00,	-180,	0.00
gateway,	-96.00,	0.00,	-90.00,	0.00
gateway,	96.00,	0.00,	90.00,	0.00
gateway,	0.00,	-96.00,	0.00,	0.00
straight,	-96.00,	64.00,	-90.00,	0.00
straight,	-64.00,	96.00,	180.00,	0.00
straight,	64.00,	96.00,	180.00,	0.00
straight,	64.00,	-96.00,	0.00,	0.00
straight,	-64.00,	-96.00,	0.00,	0.00
straight,	-96.00,	-64.00,	-90.00,	0.00
straight,	96.00,	-64.00,	90.00,	0.00
straight,	96.00,	64.00,	90.00,	0.00
tower_external_corner_link,	96.00,	-96.00,	90.00,	0.00
tower_external_corner_link,	-96.00,	-96.00,	0.00,	0.00
tower_external_corner_link,	96.00,	96.00,	-180.00,	0.00
tower_external_corner_link,	-96.00,	96.00,	-90.00,	0.00


	}

	;BUILDINGS	


centurions_tent,	-44.00,	-52.00,	90.00,	0.00
centurions_tent,	44.00,	-52.00,	-90.00,	0.00
centurions_tent,	20.00,	-52.00,	90.00,	0.00
centurions_tent,	12.00,	-52.00,	-90.00,	0.00
centurions_tent,	44.00,	52.00,	-90.00,	0.00
generals_side_tent,	-11.00,	42.06,	90.00,	0.00
generals_side_tent,	11.00,	41.00,	-90.00,	0.00
generals_tent,	0.00,	51.00,	0.00,	0.00
legionary_tent_both_flaps_closed,	-44.00,	-45.70,	90.00,	0.00
legionary_tent_both_flaps_closed,	20.00,	-45.70,	90.00,	0.00
legionary_tent_both_flaps_closed,	12.00,	-19.52,	-90.00,	0.00
legionary_tent_both_flaps_closed,	12.00,	-45.70,	-90.00,	0.00
legionary_tent_both_flaps_closed,	44.00,	-19.52,	-90.00,	0.00
legionary_tent_both_flaps_closed,	44.00,	-45.70,	-90.00,	0.00
legionary_tent_both_flaps_closed,	44.00,	45.77,	-90.00,	0.00
legionary_tent_both_flaps_open,	-44.00,	-39.30,	90.00,	0.00
legionary_tent_both_flaps_open,	-44.00,	-19.52,	90.00,	0.00
legionary_tent_both_flaps_open,	12.00,	-33.04,	-90.00,	0.00
legionary_tent_both_flaps_open,	20.00,	-19.52,	90.00,	0.00
legionary_tent_both_flaps_open,	20.00,	-39.30,	90.00,	0.00
legionary_tent_both_flaps_open,	44.00,	-33.04,	-90.00,	0.00
legionary_tent_both_flaps_open,	44.00,	20.10,	-90.00,	0.00
legionary_tent_both_flaps_open,	44.00,	39.39,	-90.00,	0.00
legionary_tent_left_flap_open,	-44.00,	-33.04,	90.00,	0.00
legionary_tent_left_flap_open,	20.00,	-33.04,	90.00,	0.00
legionary_tent_left_flap_open,	12.00,	-39.30,	-90.00,	0.00
legionary_tent_left_flap_open,	44.00,	-39.30,	-90.00,	0.00
legionary_tent_left_flap_open,	44.00,	32.94,	-90.00,	0.00
legionary_tent_right_flap_open,	-44.00,	-26.35,	90.00,	0.00
legionary_tent_right_flap_open,	20.00,	-26.35,	90.00,	0.00
legionary_tent_right_flap_open,	44.00,	-26.35,	-90.00,	0.00
legionary_tent_right_flap_open,	12.00,	-26.35,	-90.00,	0.00
legionary_tent_right_flap_open,	44.00,	26.49,	-90.00,	0.00
pile_of_logs,	9.35,	53.95,	-100.00,	0.00
pile_of_logs,	-12.72,	53.11,	-80.00,	0.00
stove,	0.00,	40.00,	0.00,	0.00
;legion_flag,	4.00,	46.00,	0.00,	0.00
;legion_standard,	-4.00,	46.00,	0.00,	0.00
centurions_tent,	-12.00,	-52.00,	90.00,	0.00
legionary_tent_both_flaps_closed,	-12.00,	-45.70,	90.00,	0.00
legionary_tent_right_flap_open,	-12.00,	-26.35,	90.00,	0.00
legionary_tent_both_flaps_open,	-12.00,	-39.30,	90.00,	0.00
legionary_tent_both_flaps_open,	-12.00,	-19.52,	90.00,	0.00
legionary_tent_left_flap_open,	-12.00,	-33.04,	90.00,	0.00
legionary_tent_right_flap_open,	-20.00,	-26.35,	-90.00,	0.00
centurions_tent,	-20.00,	-52.00,	-90.00,	0.00
legionary_tent_both_flaps_closed,	-20.00,	-19.52,	-90.00,	0.00
legionary_tent_both_flaps_closed,	-20.00,	-45.70,	-90.00,	0.00
legionary_tent_both_flaps_open,	-20.00,	-33.04,	-90.00,	0.00
legionary_tent_left_flap_open,	-20.00,	-39.30,	-90.00,	0.00
legionary_tent_left_flap_open,	-44.00,	39.39,	90.00,	0.00
