plan

{
	floor		underlay_egyptian_farm_A.cas overlay_egyptian_farm_A.cas

	ground_types	ground_no_grass.tga	-64,	-64,	64,	64
	borders	border_limits_128m_diameter.CAS

;				x,	y,	rot,	z,

corn_field_square,		-8,	32,	0,	0

;furrowed_soil,			-8,	-32,	0,	0

hay_field_square,		56,	-32,	0,	0

shaduf,				-48,	-57,	50,	-2
shaduf,				-53,	53,	-35,	-2

egyptian_grain_threshing_pit,	50,	17,	0,	0

egyptian_farm_granary,		57,	34,	-15,	0
egyptian_farm_granary,		71,	56,	90,	0
egyptian_farm_granary,		71,	67,	95,	0

egyptian_haystack,		70,	20,	0,	0
egyptian_haystack,		50,	70,	-90,	0

tree_A,			-57,	-70,	50,	-4
tree_A,			62,	-80,	50,	0
tree_A,			34,	12,	0,	0
tree_A,			44,	50,	-75,	0

bush_A,		30,	30,	0,	0

ditch_bridge,	32.00,	0.00,	0.00,	0.10
ditch_bridge,	24.00,	-12.00,	90.00,	0.10
ditch_bridge,	24.00,	-53.00,	90.00,	0.10
ditch_bridge,	88.00,	-25.00,	90.00,	0.10
ditch_bridge,	8.00,	0.00,	0.00,	0.10
ditch_bridge,	-31.00,	0.00,	0.00,	0.10
ditch_bridge,	-11.00,	64.00,	0.00,	0.10
ditch_bridge,	24.00,	51.00,	90.00,	0.10
ditch_bridge,	-31.00,	-64.00,	0.00,	0.10
ditch_bridge,	67.00,	-64.00,	0.00,	0.10


grass_A,	-77.00,	86.00,	0.00,	-2.00
grass_A,	-84.00,	82.00,	0.00,	-2.00
grass_A,	-87.00,	75.00,	0.00,	-2.00
grass_A,	-86.00,	72.00,	0.00,	-2.00
grass_A,	-61.00,	85.00,	0.00,	-2.00
grass_A,	-59.00,	84.00,	0.00,	-2.00
grass_A,	-61.00,	82.00,	0.00,	-2.00
grass_A,	-41.00,	68.00,	0.00,	-2.00
grass_A,	-39.00,	66.00,	0.00,	-2.00
grass_A,	-83.00,	60.00,	0.00,	-2.00
grass_A,	-81.00,	58.00,	0.00,	-2.00
grass_A,	-83.00,	57.00,	0.00,	-2.00
grass_A,	-86.00,	66.00,	0.00,	-2.00
grass_A,	-82.00,	43.00,	0.00,	-2.00
grass_A,	-81.00,	34.00,	0.00,	-2.00
grass_A,	-78.00,	26.00,	0.00,	-2.00
grass_A,	-76.00,	25.00,	0.00,	-2.00
grass_A,	-78.00,	23.00,	0.00,	-2.00
grass_A,	-82.00,	12.00,	0.00,	-2.00
grass_A,	-81.00,	14.00,	0.00,	-2.00
grass_A,	-78.00,	-2.00,	0.00,	-2.00
grass_A,	-77.00,	-7.00,	0.00,	-2.00
grass_A,	-78.00,	-9.00,	0.00,	-2.00
grass_A,	-81.00,	-23.00,	0.00,	-2.00
grass_A,	-81.00,	-26.00,	0.00,	-2.00
grass_A,	-80.00,	-24.00,	0.00,	-2.00
grass_A,	-83.00,	-50.00,	0.00,	-2.00
grass_A,	-82.00,	-53.00,	0.00,	-2.00
grass_A,	-84.00,	-52.00,	0.00,	-2.00
grass_A,	-81.52,	-55.61,	0.00,	-2.00
grass_A,	-75.52,	-71.61,	0.00,	-2.00
grass_A,	-72.52,	-73.61,	0.00,	-2.00
grass_A,	-74.52,	-74.61,	0.00,	-2.00
grass_A,	-69.52,	-75.61,	0.00,	-2.00
grass_A,	-58.52,	-74.61,	0.00,	-2.00
grass_A,	-50.52,	-66.61,	0.00,	-2.00
grass_A,	-47.52,	-65.61,	0.00,	-2.00
grass_A,	-45.52,	-58.61,	0.00,	-2.00
grass_A,	-43.52,	-59.61,	0.00,	-2.00
grass_A,	-50.52,	-35.61,	0.00,	-2.00
grass_A,	-49.52,	-38.61,	0.00,	-2.00
grass_A,	-48.52,	-13.61,	0.00,	-2.00
grass_A,	-49.52,	-10.61,	0.00,	-2.00
grass_A,	-50.52,	-11.61,	0.00,	-2.00
grass_A,	-50.52,	-14.61,	0.00,	-2.00
grass_A,	-48.52,	-16.61,	0.00,	-2.00
grass_A,	-45.52,	-5.61,	0.00,	-2.00
grass_A,	-41.52,	3.39,	0.00,	-2.00
grass_A,	-47.52,	6.39,	0.00,	-2.00
grass_A,	-49.52,	9.39,	0.00,	-2.00
grass_A,	-50.52,	11.39,	0.00,	-2.00
grass_A,	-47.52,	32.39,	0.00,	-2.00
grass_A,	-50.52,	19.39,	0.00,	-2.00
grass_A,	-46.52,	39.39,	0.00,	-2.00
grass_A,	-45.52,	38.39,	0.00,	-2.00
grass_A,	-48.52,	54.39,	0.00,	-2.00
grass_A,	-45.52,	58.39,	0.00,	-2.00
grass_A,	-47.52,	56.39,	0.00,	-2.00
grass_A,	-46.52,	55.39,	0.00,	-2.00
grass_A,	-49.52,	59.39,	0.00,	-2.00


}
