plan

{
	floor		forestry_underlay.cas forestry_overlay.cas

	ground_types	ground_no_grass.tga	-64,	-64,	64,	64
	borders	border_limits_64m_diameter.CAS

	;		x,		y,	rot,	z,

farm_house,	-9.47	-15.25	-135	0
kiln,		21.15	9.86	0	0
pile_of_logs	19.51	-17.2	0	0
pile_of_logs	16.5	-17.2	-5	0
pile_of_logs	12.61	-16.05	15	0
pile_of_logs	8.60	-18.25	15	0

tree_A,	-48.65,	53.81,	15,	-5.02
tree_A,	-42.88,	9.59,	30,	-.07
tree_A,	-1.841,	29.51,	45,	-0.82
tree_A,	-2.14,	42.53,	60,	-2.11
tree_A,	14.14,	38.78	75,	-1.16
tree_A,	28.46	53.09	15,	-3.57
tree_A,	30.97	11.42	45,	-.28
tree_A,	57.92	33.86	65,	-3.47
tree_A,	47.51	26.15	90,	-2.41
tree_A,	50.76	20.96	120,	-2.34
tree_A,	43.94	-6.95	145,	-2.80
tree_A,	51.11	-7.46	180,	-3.78
tree_A,	49.46	-39.23	210,	-5.33
tree_A,	36.53	-28.38	235,	-3.84
tree_A,	18.52	-50.64	250,	-2.83
tree_A,	-11.43	-49.73	265,	.56
tree_A,	-20.37	-55.22	290,	0.97
tree_A,	-42.61	-27.40	305,	-.49
tree_A,	-39.40	-42.80	320,	.35
tree_A,	-54.64	-48.76	335,	-.36
tree_A,	-35.68	-59.58	350,	1.09
}


	
